MSA,metro_name,yr,qtr,index_nsa,index_sa
10420,"Akron, OH",2023,3,303.93,297.26
10580,"Albany-Schenectady-Troy, NY",2023,3,303.49,299.96
10740,"Albuquerque, NM",2023,3,386.36,383.15
10900,"Allentown-Bethlehem-Easton, PA-NJ",2023,3,306.9,303.88
11244,"Anaheim-Santa Ana-Irvine, CA",2023,3,475,474.33
12060,"Athens-Clarke County, GA",2023,3,425.71,423
12420,"Austin-Round Rock, TX",2023,3,732.59,732.23
12540,"Bakersfield, CA",2023,3,315.1,313.88
12580,"Baltimore-Columbia-Towson, MD",2023,3,358.89,353.21
12940,"Baton Rouge, LA",2023,3,355.67,352.9
13820,"Birmingham-Hoover, AL",2023,3,373.59,369.21
14260,"Boise City, ID",2023,3,676.78,668.56
14454,"Boston, MA",2023,3,472.6,466.97
14860,"Bridgeport-Stamford-Norwalk, CT",2023,3,321.87,317.47
15380,"Brunswick, GA",2023,3,345.94,339.52
15764,"Cambridge-Newton-Framingham, MA",2023,3,468.9,463.4
15804,"Camden, NJ",2023,3,323.29,321.71
15980,"Cape Coral-Fort Myers, FL",2023,3,487.14,485.52
16700,"Charleston-North Charleston, SC",2023,3,648.64,639.86
16740,"Charlotte-Concord-Gastonia, NC-SC",2023,3,457.67,451
16984,"Chicago-Naperville-Arlington Heights, IL",2023,3,301.71,298.95
17140,"Cincinnati, OH-KY-IN",2023,3,344.05,341.4
17460,"Cleveland-Elyria, OH",2023,3,287.55,283.1
17820,"Colorado Springs, CO",2023,3,568.25,565.32
17900,"Columbia, SC",2023,3,335.03,333.13
18140,"Columbus, OH",2023,3,390.79,387.99
19124,"Dallas-Plano-Irving, TX",2023,3,454.16,448.27
19430,"Dayton, OH",2023,3,283.81,278.58
19740,"Denver-Aurora-Lakewood, CO",2023,3,737.47,734.29
19804,"Detroit-Dearborn-Livonia, MI",2023,3,320.22,315.03
20994,"Elgin, IL",2023,3,269.54,266.94
21340,"El Paso, TX",2023,3,322.59,320.39
22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2023,3,584.16,577.37
23104,"Fort Worth-Arlington, TX",2023,3,424.89,422.05
23224,"Fort Worth-Arlington, TX",2023,3,363.35,360.46
23420,"Fresno, CA",2023,3,363.42,362.92
23844,"Gary, IN",2023,3,329.22,325.65
24340,"Grand Junction, CO",2023,3,412.68,408.98
24660,"Greensboro-High Point, NC",2023,3,321.17,319.82
24860,"Greenville, NC",2023,3,442.97,438.08
25540,"Harrisonburg, VA",2023,3,239.48,236.21
26420,"Houston-The Woodlands-Sugar Land, TX",2023,3,427.25,423.9
26900,"Indianapolis-Carmel-Anderson, IN",2023,3,346.84,344.44
27260,"Jacksonville, FL",2023,3,546.83,534.27
28140,"Kansas City, MO-KS",2023,3,411.13,408.03
28940,"Knoxville, TN",2023,3,484.13,477.9
29404,"Lake County-Kenosha County, IL-WI",2023,3,270.7,266.05
29820,"Las Vegas-Henderson-Paradise, NV",2023,3,378.33,373.21
30780,"Little Rock-North Little Rock-Conway, AR",2023,3,314.63,313.25
31084,"Los Angeles-Long Beach-Glendale, CA",2023,3,436.88,432.62
31140,"Louisville/Jefferson County, KY-IN",2023,3,386.9,385.18
32820,"Memphis, TN-MS-AR",2023,3,316.43,318.53
33124,"Miami-Miami Beach-Kendall, FL",2023,3,722.12,719.09
33340,"Midland, TX",2023,3,402.08,393.75
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2023,3,408.82,406.05
33874,"Montgomery County-Bucks County-Chester County, PA",2023,3,344.16,341.88
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2023,3,562.75,560.86
35004,"Nassau County-Suffolk County, NY",2023,3,442.85,440.5
35084,"Newark, NJ-PA",2023,3,384.41,379.52
35300,"New Haven-Milford, CT",2023,3,273.92,271.58
35380,"New Orleans-Metairie, LA",2023,3,404.64,400.45
35614,"New York-Jersey City-White Plains, NY-NJ",2023,3,392.09,390.93
35840,"North Port-Sarasota-Bradenton, FL",2023,3,601.61,601.87
36084,"Norwich-New London, CT",2023,3,477.49,474.29
36420,"Oklahoma City, OK",2023,3,394.14,390.45
36540,"Omaha-Council Bluffs, NE-IA",2023,3,404.83,402.84
36740,"Orlando-Kissimmee-Sanford, FL",2023,3,477.84,474.48
37100,"Oxnard-Thousand Oaks-Ventura, CA",2023,3,411.17,407.09
37964,"Philadelphia, PA",2023,3,393.62,389.36
38060,"Philadelphia, PA",2023,3,612.82,606.42
38300,"Pittsburgh, PA",2023,3,368.68,364.76
38900,"Portland-Vancouver-Hillsboro, OR-WA",2023,3,635.63,629.98
39300,"Providence-Warwick, RI-MA",2023,3,394.97,389.93
39580,"Raleigh, NC",2023,3,448.89,446.81
40060,"Richmond, VA",2023,3,410.28,407.88
40140,"Riverside-San Bernardino-Ontario, CA",2023,3,400.73,398.34
40380,"Rochester, NY",2023,3,279.6,274.64
40900,"Sacramento--Roseville--Arden-Arcade, CA",2023,3,359.68,357.02
41180,"St. Louis, MO-IL",2023,3,349.03,344.07
41620,"Salt Lake City, UT",2023,3,767.43,765.52
41700,"San Antonio-New Braunfels, TX",2023,3,461.21,459.89
41740,"San Diego-Carlsbad, CA",2023,3,507.36,505.61
41884,"San Francisco-Redwood City-South San Francisco, CA",2023,3,512.49,518.57
41940,"San Jose-Sunnyvale-Santa Clara, CA",2023,3,543.21,550.03
42644,"Seattle-Bellevue-Everett, WA",2023,3,598.96,598.6
44700,"Staunton-Waynesboro, VA",2023,3,348.58,346.38
45060,"Syracuse, NY",2023,3,282.41,275.93
45104,"Tacoma-Lakewood, WA",2023,3,575.04,568.89
45300,"Tampa-St. Petersburg-Clearwater, FL",2023,3,620.94,613.13
46060,"Tucson, AZ",2023,3,482.36,478.94
46140,"Tulsa, OK",2023,3,364.95,363.37
46520,"Urban Honolulu, HI",2023,3,340.42,333.51
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",2023,3,380.94,380.05
47664,"Warren-Troy-Farmington Hills, MI",2023,3,337.8,333.04
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2023,3,408.02,406.91
48424,"Wenatchee, WA",2023,3,575.2,569.44
48620,"Wichita, KS",2023,3,342.39,333.65
48864,"Wilmington, DE-MD-NJ",2023,3,303.1,303.69
49180,"Winston-Salem, NC",2023,3,341.04,336.01
